,会社名,求人タイトル,項目C
0,株式会社ボードルア | ★マザーズ上場企業★残業ほぼなし★完全週休2日(年休125日以上),マンツーマン研修で【初級ITエンジニア】デビュー★100％未経験 正社員,
1,光ビジネスフォーム株式会社 | ジャスダック上場*テレワーク導入*大手や官公庁と取引*年休123日,未経験歓迎！【企画営業】＊20代活躍中＊土日祝休＊フレックス制 正社員,
2,株式会社ミックウェア | 「マネー・タイム・フリー」に特化した3つの働き方を選べます！,【ITエンジニア】最先端の開発環境★車の新しい価値を創造！ 正社員,
3,"コクー株式会社 | ""EXCEL女子事業""を展開◆年休124日以上◆副業OK◆月給30万以上も","""データに強い""人材へ【IT事務】★女性活躍中 ★豊富な研修制度 正社員",
4,株式会社テレマ | プライム案件80%、残業ほぼなし、土日祝休み、年間休日125日,理想の転職が手に入る【初級エンジニア】自社内／在宅ワーク可 正社員,
5,株式会社TERASS | 【自由な働き方】×【高収入】を実現可能！,ノルマなしの【不動産仲介エージェント】経験者募集/名古屋担当 業務委託,
6,株式会社プラウドグロリア | ★土日祝休み★年間休日125日以上★リモートワークあり,未経験歓迎！PCに触ったことがない方でもOK☆【ITエンジニア】 正社員,
7,株式会社メイテックフィルダーズ | 【東証一部上場／グループ企業】ITスキルをしっかり磨ける,充実研修で安心！ゼロから始める【ITエンジニア】※理系卒採用 正社員,
8,シエルプレザン合同会社 | 【20代中心に活躍中】個々のペースを尊重する、居心地の良い会社,【ITエンジニア】★完全土日祝休 ★残業月平均10h程 ★WEB面接OK 正社員,
9,株式会社スタッフサービス | 【面接1回】未経験でも安心の研修＆サポート制度★年間休日125日,在宅あり★お休みたっぷり【総合職(商品企画など)】女性活躍中♪ 正社員,
10,京セラ株式会社 | 【200名規模の大量採用】Web面接可／独身寮／高卒メンバー活躍中,【総合職(製造・設備保全・品質保証)】年休124日★賞与5.8ヶ月分 正社員,
11,株式会社エージェントゲート | 大手企業とも取引/残業基本なし/リモート勤務有/年休130日,未経験歓迎★IT業界に挑戦★【SEサポート・PMO補佐】 正社員,
12,株式会社根本杏林堂 | 総合病院で圧倒的シェアを誇る医療機器メーカー★年休124日,多くの医療現場を支える【組込ソフト設計】★新商品開発案件あり 正社員,
13,株式会社ネクストワン | ＼創立20周年突破／◆年間休日125日◆土日祝休み◆残業月20H程度,人財力100認定企業！ITスクールでゼロから成長【ITエンジニア】 正社員,
14,クオリティソフト株式会社 | クラウドセキュリティサービス『ISM CloudOne』◆年間休日126日,【提案営業】完全自社製品／国内シェアNo.1 ／若手活躍中！ 正社員,
15,株式会社リクルートスタッフィング | リクルートグループの正社員に♪在宅ワークも実施中,20代女性活躍中♪【営業事務】月給制＆賞与年2回★土日祝休み 正社員,
16,四葉システム開発株式会社 | ★年間休日125日 ★土日祝休み ★連休取得も可能 ★残業少なめ,官公庁案件が中心！【自社内開発エンジニア】★賞与実績5.5ヶ月 正社員,
17,株式会社インフォム | ◆残業ほぼなし◆完全週休2日制◆年間休日120日以上◆直行直帰OK,既存顧客のオーナー様へ【企画営業】※未経験歓迎・土日祝休み！ 正社員,
18,株式会社メイテック | 東証一部上場企業／大手企業で最上流から携わる／年収UP事例多数,【ITエンジニア】AI/5G/自動運転など最先端案件多数！40代活躍中 正社員,
19,Modis株式会社 | 旧社名：株式会社VSN,【コンサル型PM（自社内開発）】※年収700～1500万円可能 正社員,
20,グルーコードテクノロジーズ株式会社 | 【グルーコードグループ】★コロナ禍でも成長／積極採用中,★リモート9割／残業ほぼなし／自社内...etc【プログラマー】 正社員,
21,株式会社エージェントゲート　 | WOMAN's VALUE AWARD/残業基本なし/リモート勤務も実施中,年休130日！IT業界・事務未経験OK！安定の手に職を【IT事務】 正社員,
22,株式会社リクルート | 旅行領域★年間休日145日／完全週休2日制／男性の育休取得実績有,【企画営業(じゃらん)】◎未経験歓迎◆全国募集◆土日祝休み 正社員,
23,株式会社オブジェクティブコード | 月平均残業6.8時間◆年間休日135日以上取得可能！,十人十色全肯定！キャリアも給与もマイペースの【ITサポート】 正社員,
24,株式会社セレブリックス | ◆博報堂グループ◆若手社員中心に活躍中◆未経験でも月27.7万円,「未経験の僕がヒーローになれました」挑戦歓迎！【店舗営業】 正社員,
25,AJ・Flat株式会社 | ◎独自の評価制度があるから前給120％以上も実現可！◎年休128日,社内通貨制度で努力を見える化して評価！【PG・SE】*高卒以上 正社員,
26,クリエイトソリューションズ株式会社 | <7期連続増収増益>成長企業でありながら大手並みの福利厚生完備,"""エンジニア志望""大歓迎★【SE・PG】※完休2日・残業ほぼなし 正社員",
27,株式会社エージェントゲート | 定着率94%★Web面談実施中★年収120万UPでスタートの経験者も！,【ITエンジニア】★年休130日★　※高卒以上 正社員,
28,株式会社サムライ・ソフト | 累計750万DLアプリ開発実績有｜ブロックチェーンゲームで世界へ,【ブロックチェーンゲームエンジニア】未経験OK／フルリモート 正社員,
29,株式会社メイテックフィルダーズ | 【東証一部上場／グループ企業】年収100万UPした先輩も！,ゼロからモノづくりの技術を！【設計エンジニア】※理系卒歓迎 正社員,
30,ICT・イノベーター株式会社 | 学歴不問★入社支度金+お祝金50万円～70万円★福利厚生充実企業,【PCサポート】ネットワーク・サーバエンジニアにキャリアUP！ 正社員,
31,株式会社エージェントゲート | ビッグプロジェクトにも参画！大手プライム多数/前給最大限考慮,年収900万～可！数十名以上を管理する規模多数【PL・PM】 正社員,
32,株式会社メイテックフィルダーズ | 東証一部上場グループ／前職から年収100万UPした先輩も！,【ITエンジニア】最先端領域でスキルアップ！※経験者採用 正社員,
33,株式会社アーバン・ウェブ | ★テレワーク導入 ★有給消化ほぼ100％ ★残業月20時間以内,【システムエンジニア】★経験者は前職給与保証 正社員,
34,株式会社フレスタ | システム開発サービスで急成長!◎フリーランスも目指せる/副業OK,★未経験歓迎★【開発エンジニア】定着率90％/残業月平均6.5h 正社員,
35,株式会社エージェントゲート | 化粧品、メーカー、ゲームなど大手と取引★土日祝休★年休130日,【フロントエンドエンジニア】定着率94％★常時1600の豊富な案件 正社員,
36,株式会社アイエスエフネット | ★転職で年収が200万円UPの先輩も！未経験者大歓迎◎,【ITサポート（ヘルプデスク・エンジニア）】年休126日/広島採用 正社員,
37,株式会社Ｃａｒｅｃｏｎ | #年間休日120日以上#完全週休2日（土日休み）#リモートワークOK,【初級ITエンジニア】★最大6ヵ月の自社内研修★未経験歓迎 正社員,
38,AIGATEキャリア株式会社 | 同期入社★転勤なし★完休2日★年休120日★年収500万以上可,"【営業スタッフ】""未経験から始める""人材ビジネス★残業10H以内 正社員",
39,株式会社エージェントゲート | 化粧品メーカー等と取引/産育休取得＆復帰100％/残業基本なし,未経験OK★希望の働き方に変えよう*年休130日【ITヘルプデスク】 正社員,
40,株式会社リクルートスタッフィング情報サービス | スキルを身に付けワンランクアップできる★賞与年2回★WEB面接OK,未経験歓迎♪【ITエンジニア総合職】残業少なめ&年間休日124日♪ 正社員,
41,株式会社トーガシ | 展示会・イベント事業で成長を続ける安定企業 ◎年休120日以上,アイデアを形にする醍醐味を！【法人営業】◎残業月20～30h程度 正社員,
42,レック・テクノロジー・コンサルティング株式会社 | 完全週休二日制（土日祝休）／残業月平均10h程度／年休125日以上,給与UPを保証★【クラウド・データ分析基盤】★基本フルリモート 正社員,
43,グルーコードテクノロジーズ株式会社 | 【グルーコードグループ】★コロナ禍でも成長／積極採用中,★前給＋α保証 ★年休最大140日 ★多様な働き方【エンジニア】 正社員,
